name1	name2	single_tel_length_norm
AQH	AQH	-9
SACE_YAB	SACE_YAB	-9
AAR	AAR	-9
AEA	AEA	-9
BRM	BRM	-9
AEQ	AEQ	-9
SACE_YAG	SACE_YAG	-9
AAQ	AAQ	-9
ASB	ASB	-0.4128885717
APP	APP	-9
CPD	CPD	-9
AIG	AIG	-9
ARE	ARE	-9
SACE_YDD	SACE_YDD	-9
AFQ	AFQ	-9
CDM	CDM	0.5246051767
SACE_YCF	SACE_YCF	-9
CFT	CFT	-9
AER	AER	-9
BCV	BCV	0.1300712717
BDB	BDB	0.1326084673
BDD	BDD	-0.1617062142
BDA	BDA	-9
BDE	BDE	-9
BDH	BDH	-0.2200617114
BDI	BDI	-9
BDK	BDK	-9
SACE_YCT	SACE_YCT	-9
SACE_YCC	SACE_YCC	-9
BHG	BHG	-0.8112282699
BHH	BHH	-0.6792941023
BHI	BHI	-0.6234758007
SACE_MAA	SACE_MAA	-9
SACE_YCZ	SACE_YCZ	-9
AFF	AFF	-9
AAL	AAL	-9
AAM	AAM	-9
ANP	ANP	-0.1617062142
AHV	AHV	-9
ATS	ATS	-0.653922147
BBP	BBP	-0.5498971303
CDR	CDR	0.7592957632
BMG	BMG	-9
CHL	CHL	-9
ADP	ADP	-9
AMK	AMK	-9
AML	AML	-9
AMI	AMI	-9
AMG	AMG	-9
AMQ	AMQ	-9
APK	APK	-9
APN	APN	-9
CIE	CIE	-9
AEM	AEM	-9
AFT	AFT	-9
AQI	AQI	0.6857170928
AFE	AFE	-0.8911499291
ATR	ATR	-0.7896621079
AFC	AFC	-9
APM	APM	-9
API	API	-9
ASL	ASL	-9
BTF	BTF	-9
ASP	ASP	-0.6666081247
BCR	BCR	-9
BCS	BCS	0.2404392773
BCT	BCT	0.3000633723
AGK	AGK	-9
AGE	AGE	-9
BTC	BTC	0.19350116
ABV	ABV	-9
ALV	ALV	-9
BBC	BBC	-9
AMN	AMN	-9
CFP	CFP	-9
BBF	BBF	0.1021621209
AAP	AAP	-0.0957391304
ALN	ALN	1.802083126
ALP	ALP	-9
BBD	BBD	-9
BBE	BBE	-9
AAN	AAN	-9
CHI	CHI	0.3343155119
APL	APL	0.4307289421
AEV	AEV	-9
CFI	CFI	-9
CFN	CFN	-9
CHK	CHK	-9
CHH	CHH	-9
ADL	ADL	-9
BDL	BDL	0.1364142606
BFM	BFM	-9
BFE	BFE	-9
BFG	BFG	-9
BTD	BTD	-9
ADM	ADM	1.5876901038
AKT	AKT	-0.3989339963
CHG	CHG	0.5131877968
CHR	CHR	-0.2238675047
BML	BML	-9
BTE	BTE	-9
BMM	BMM	-9
CBF	CBF	-9
CKK	CKK	-9
CKS	CKS	-9
CLA	CLA	-9
SACE_YBW	SACE_YBW	-9
CPI	CPI	-0.5955666498
CPM	CPM	1.0726394112
CPK	CPK	-0.4737812644
CPL	CPL	1.062490629
CPQ	CPQ	-9
CPN	CPN	0.4649810817
CPR	CPR	-9
ALI	ALI	-0.4661696778
BCG	BCG	0.0158974729
BCB	BCB	-0.5651203035
BCM	BCM	0.133877065
BDT	BDT	-0.4268431471
BCF	BCF	0.6666881263
BCL	BCL	0.0780587634
BCD	BCD	-0.3469214879
BDP	BDP	-0.3380413035
BCI	BCI	-9
BCC	BCC	-0.5143763929
BEC	BEC	-9
BED	BED	-0.4040083873
BCE	BCE	-0.0475324154
BCQ	BCQ	-0.0919333371
BDV	BDV	-0.1604376164
BNB	BNB	0.6235558023
BDR	BDR	-0.5194507839
BMV	BMV	-0.378636432
BNA	BNA	-0.3849794209
BCH	BCH	-0.3748306387
BCP	BCP	-0.1426772477
BDS	BDS	-0.3215495326
BCN	BCN	-9
BEA	BEA	-0.3063263594
BNC	BNC	-0.6310873873
BDQ	BDQ	-0.2543138511
BEB	BEB	-0.2758800131
BCK	BCK	0.0729843723
BMR	BMR	-0.0919333371
BEE	BEE	-0.2213303092
BND	BND	-0.6830998956
CQS	CQS	0.5994524448
BBM	BBM	-0.6196700074
CPA	CPA	-1.5102256384
ADE	ADE	-9
SACE_YCL	SACE_YCL	-9
SACE_YBV	SACE_YBV	-9
SACE_YAX	SACE_YAX	-9
SACE_YCG	SACE_YCG	-9
AAH	AAH	-9
AFS	AFS	-9
AGC	AGC	-9
CFC	CFC	-9
AGB	AGB	-2.1546733031
ATV	ATV	-9
AAC	AAC	1.1018171597
CBR	CBR	-9
CFG	CFG	-9
CFH	CFH	-9
AEC	AEC	-9
CFD	CFD	-9
CFM	CFM	-9
AQT	AQT	-9
BRP	BRP	-9
BSI	BSI	-9
AEB	AEB	-9
ASH	ASH	-9
BBG	BBG	-9
BRQ	BRQ	-9
CGC	CGC	-9
CNC	CNC	0.1275340762
BMQ	BMQ	-9
ACN	ACN	-9
CBK	CBK	-9
CBL	CBL	-0.2467022645
AKI	AKI	-0.7059346554
ADA	ADA	-9
ATE	ATE	-0.7211578286
CBM	CBM	0.1795465846
ACA	ACA	-9
ACB	ACB	-9
BRL	BRL	-9
ADT	ADT	-9
SACE_GAV	SACE_GAV	-9
SACE_YCE	SACE_YCE	-9
SACE_YCH	SACE_YCH	-9
CLG	CLG	-0.859434985
CQC	CQC	-0.7021288621
CQD	CQD	-0.4420663203
CQG	CQG	-0.0411894265
CQI	CQI	-0.8505548006
CQH	CQH	-0.3558016723
CQL	CQL	1.3352391485
ANN	ANN	-0.4572894935
CQM	CQM	0.9673457967
CQE	CQE	-0.5346739571
CQK	CQK	0.8227256514
CQF	CQF	-0.6818312979
CQN	CQN	1.4075492211
CQP	CQP	0.6172128135
AKQ	AKQ	-0.3900538119
AKS	AKS	-0.967265795
ALG	ALG	-0.9824889682
ABH	ABH	-9
SACE_YAN	SACE_YAN	-9
SACE_YBZ	SACE_YBZ	-9
BTI	BTI	0.5182621878
CGB	CGB	0.7973536961
SACE_YDG	SACE_YDG	-9
ABI	ABI	-9
SACE_YAT	SACE_YAT	-9
BSK	BSK	-0.7110090465
BMD	BMD	0.4345347353
AAV	AAV	-9
BRV	BRV	-0.5384797504
SACE_YAP	SACE_YAP	-9
SACE_YAQ	SACE_YAQ	-9
SACE_YAR	SACE_YAR	-9
ABK	ABK	-9
SACE_YAU	SACE_YAU	-9
ABA	ABA	-9
SACE_YAV	SACE_YAV	-9
AAS	AAS	-9
AAT	AAT	-9
ABG	ABG	-9
SACE_YAK	SACE_YAK	-9
CEN	CEN	-9
SACE_YAW	SACE_YAW	-9
SACE_YBJ	SACE_YBJ	-9
SACE_YBK	SACE_YBK	-9
SACE_YBL	SACE_YBL	-9
SACE_YBT	SACE_YBT	-9
ADK	ADK	-9
SACE_MAB	SACE_MAB	-9
CKA	CKA	-0.3558016723
AGP	AGP	-9
SACE_YDH	SACE_YDH	-9
CHS	CHS	-1.031964281
CHT	CHT	-1.2247911413
ABD	ABD	-9
ATC	ATC	-9
ATD	ATD	0.7351924057
ANA	ANA	-9
BBL	BBL	-9
CDC	CDC	-9
CDD	CDD	0.8404860202
CDE	CDE	0.5613945119
CPC	CPC	-1.2615804765
BMF	BMF	-9
CKN	CKN	-0.7249636219
CIG	CIG	-1.3694112865
CIL	CIL	-1.2082993704
AAG	AAG	-9
AHA	AHA	-9
CII	CII	-0.9406252419
CIK	CIK	-9
BTA	BTA	-9
BDC	BDC	-9
BDF	BDF	-9
BDG	BDG	-9
CHQ	CHQ	0.0374636349
ALR	ALR	-9
AEL	AEL	1.1208461262
AEE	AEE	-9
ARA	ARA	-9
ARB	ARB	-9
BTB	BTB	-9
ATB	ATB	-9
BIE	BIE	-0.6133270186
BPA	BPA	-9
AGT	AGT	-9
CIH	CIH	-0.1147680969
ABF	ABF	-9
SACE_YAL	SACE_YAL	-9
AEI	AEI	-9
AFG	AFG	-9
SACE_YBU	SACE_YBU	-9
SACE_YBM	SACE_YBM	-9
ABC	ABC	-9
SACE_YDL	SACE_YDL	-9
SACE_YDN	SACE_YDN	-9
CIC	CIC	-1.2032249793
CDK	CDK	-9
CEM	CEM	-9
CIF	CIF	-0.7439925884
CID	CID	-1.3161301804
BBT	BBT	-9
CHN	CHN	0.4992332214
CHP	CHP	0.2201417131
CMG	CMG	-9
CRE	CRE	-9
BDM	BDM	0.0361950371
ACI	ACI	-9
SACE_YCS	SACE_YCS	-9
ACL	ACL	-9
CEQ	CEQ	-0.0792473595
BAB	BAB	-9
AVV	AVV	-9
BAA	BAA	-9
BAD	BAD	-9
BAC	BAC	-9
BAE	BAE	-9
BAF	BAF	-0.4636324823
CFA	CFA	-0.3126693482
SACE_GAL	SACE_GAL	-9
CPS	CPS	-9
CPT	CPT	-9
CQA	CQA	-0.2657312309
CQB	CQB	-0.6983230688
AHS	AHS	-9
ADV	ADV	-9
AKG	AKG	-0.4864672421
SACE_YAC	SACE_YAC	-9
ADF	ADF	-9
AKB	AKB	0.1414886516
AKD	AKD	-9
AKC	AKC	-9
AKE	AKE	-0.4712440689
AKH	AKH	-0.3469214879
APQ	APQ	0.4332661376
APR	APR	-9
ATP	ATP	-0.7845877168
SACE_YBP	SACE_YBP	-9
SACE_YCV	SACE_YCV	-9
BAM	BAM	-0.58414927
BAQ	BAQ	-0.6374303761
BAG	BAG	-0.9152532866
BAH	BAH	-0.2137187226
BAL	BAL	-0.2949089795
AMH	AMH	-0.4915416331
CEG	CEG	0.3330469141
CEI	CEI	1.4303839809
CCQ	CCQ	-0.2999833706
CCR	CCR	-0.3494586834
CCS	CCS	-0.2631940354
BAK	BAK	-0.4078141806
BAI	BAI	-0.8556291917
ACQ	ACQ	-9
CCN	CCN	0.0932819366
CDL	CDL	0.1630548136
SACE_YCR	SACE_YCR	-9
BMA	BMA	-1.3846344597
AKM	AKM	-1.2019563815
BMB	BMB	-0.9837575659
BMC	BMC	-0.8835383425
SACE_MAL	SACE_MAL	-9
SACE_YCY	SACE_YCY	-9
ABL	ABL	-9
SACE_YCB	SACE_YCB	-9
AMM	AMM	0.0400008304
BAN	BAN	-0.2860287952
BAP	BAP	-0.378636432
CMP	CMP	-1.3833658619
CCH	CCH	-9
ACC	ACC	-9
CCC	CCC	0.3026005678
CCD	CCD	-1.8184948953
CCE	CCE	-0.1223796835
CCF	CCF	0.0717157746
CCG	CCG	-1.4899280742
CCI	CCI	-1.6091762641
CMQ	CMQ	-1.1030057559
SACE_GAT	SACE_GAT	-9
SACE_YCX	SACE_YCX	-9
CDN	CDN	-9
BFA	BFA	0.533485361
BFL	BFL	0.6501963554
AMB	AMB	-0.5448227392
AMC	AMC	-0.9101788956
CDQ	CDQ	0.485278646
SACE_GAS	SACE_GAS	-9
SACE_YCW	SACE_YCW	-9
CDF	CDF	-0.0906647394
CDG	CDG	0.8912299308
CDH	CDH	0.7592957632
CDI	CDI	0.1465630427
AMD	AMD	-0.7236950241
AMF	AMF	-0.1959583539
CEH	CEH	-0.1705863986
CCP	CCP	-0.2175245159
BEG	BEG	-9
CDB	CDB	0.5537829253
AVI	AVI	0.0057486908
ACD	ACD	-9
ANF	ANF	-0.6158642141
ANH	ANH	-0.6006410409
ANC	ANC	-0.2999833706
ANE	ANE	-0.5854178677
ANG	ANG	-0.7198892308
AND	AND	-0.3050577617
ANK	ANK	-0.778244728
ANI	ANI	0.0311206461
AKN	AKN	-0.3875166164
SACE_YBS	SACE_YBS	-9
SACE_YCU	SACE_YCU	-9
BBR	BBR	-0.5778062811
SACE_YCO	SACE_YCO	-9
CMS	CMS	-1.3516509178
ADG	ADG	-9
CDP	CDP	0.1896953667
SACE_YDI	SACE_YDI	-9
ARH	ARH	-9
ARI	ARI	-9
AFK	AFK	-0.6133270186
AHH	AHH	-9
CCT	CCT	0.6616137353
CCV	CCV	-0.0285034489
CDA	CDA	-9
AGR	AGR	-9
ARG	ARG	0.0311206461
SACE_YCM	SACE_YCM	-9
SACE_YDE	SACE_YDE	-9
SACE_YCN	SACE_YCN	-9
ASM	ASM	-9
CGH	CGH	-9
CEP	CEP	-9
CKR	CKR	-9
ARP	ARP	-9
AEF	AEF	-9
CMH	CMH	0.6210186068
ARM	ARM	0.9483168302
CLI	CLI	-0.5993724431
