Strain	Single_tel_length	Clade	Gene	CN
CNI	277.125	03.Brazilian_Bioethanol	ATP8	11.5
CNH	373.25	03.Brazilian_Bioethanol	ATP8	6
BVH	333.25	03.Brazilian_Bioethanol	ATP8	25
CNN	159.5	03.Brazilian_Bioethanol	ATP8	13
CNF	428.75	03.Brazilian_Bioethanol	ATP8	7
CNB	427.375	03.Brazilian_Bioethanol	ATP8	10.5
BVG	1209.5	03.Brazilian_Bioethanol	ATP8	4
CNE	526.375	03.Brazilian_Bioethanol	ATP8	6.5
BVD	526.5	03.Brazilian_Bioethanol	ATP8	5.5
BVF	457.125	03.Brazilian_Bioethanol	ATP8	10.5
CNS	214.25	03.Brazilian_Bioethanol	ATP8	18
CNT	213.5	03.Brazilian_Bioethanol	ATP8	19.5
CCL	255.75	04.Mediterranean_oak	ATP8	8
BBQ	197.375	04.Mediterranean_oak	ATP8	12
BBS	214.375	04.Mediterranean_oak	ATP8	12.5
BFP	328.75	04.Mediterranean_oak	ATP8	1
BTG	326.5	04.Mediterranean_oak	ATP8	8.5
CLB	138.875	04.Mediterranean_oak	ATP8	8
BGM	277.25	05.French_Dairy	ATP8	12.5
BGP	224.5	05.French_Dairy	ATP8	13
BFH	405.75	05.French_Dairy	ATP8	1.5
ASN	270.125	05.French_Dairy	ATP8	19
BGK	326.125	05.French_Dairy	ATP8	19.5
BGD	577.75	05.French_Dairy	ATP8	24
BGI	292.25	05.French_Dairy	ATP8	14.5
ALD	227.25	05.French_Dairy	ATP8	17
BFS	287.625	05.French_Dairy	ATP8	17
BGB	294.75	05.French_Dairy	ATP8	9
BGF	229.75	05.French_Dairy	ATP8	18
BFT	246.125	05.French_Dairy	ATP8	12.5
BGE	259.875	05.French_Dairy	ATP8	11.5
BGL	277.75	05.French_Dairy	ATP8	17
BGA	268.75	05.French_Dairy	ATP8	19.5
BGT	242.5	05.French_Dairy	ATP8	20.5
BGV	231.875	05.French_Dairy	ATP8	23
BGH	289.25	05.French_Dairy	ATP8	22
BGN	407.25	05.French_Dairy	ATP8	23
BGC	266.625	05.French_Dairy	ATP8	14.5
BGQ	274.375	05.French_Dairy	ATP8	17.5
CKV	203.125	05.French_Dairy	ATP8	5
BDN	219	06.African_beer	ATP8	18
CER	190.75	06.African_beer	ATP8	12
BPN	233.5	99.Other	ATP8	2
CBN	275.25	07.Mosaic_beer	ATP8	6
AQG	411	07.Mosaic_beer	ATP8	10
CFF	115.25	07.Mosaic_beer	ATP8	7.5
AFP	288.5	07.Mosaic_beer	ATP8	13.5
CDM	304.875	M2.Mosaic_Region_2	ATP8	9.5
BCV	266	M2.Mosaic_Region_2	ATP8	20
BDB	266.25	M2.Mosaic_Region_2	ATP8	23
BDD	237.25	M2.Mosaic_Region_2	ATP8	20
BDH	231.5	M2.Mosaic_Region_2	ATP8	13
BHG	173.25	M2.Mosaic_Region_2	ATP8	6
BHH	186.25	M2.Mosaic_Region_2	ATP8	13.5
BHI	191.75	M2.Mosaic_Region_2	ATP8	1
ANP	237.25	08.Mixed_origin	ATP8	11.5
ATS	188.75	08.Mixed_origin	ATP8	20.5
BBP	199	08.Mixed_origin	ATP8	16.5
CDR	328	08.Mixed_origin	ATP8	10
AQI	320.75	08.Mixed_origin	ATP8	5
AFE	165.375	08.Mixed_origin	ATP8	16
ATR	175.375	08.Mixed_origin	ATP8	10.5
ASP	187.5	08.Mixed_origin	ATP8	21.5
BCS	276.875	08.Mixed_origin	ATP8	18.5
BCT	282.75	08.Mixed_origin	ATP8	25.5
