Strain,Single_tel_length,Clade,Gene,CN
CAR,301.25,01.Wine_European,YFR054C,1
CAT,292.5,01.Wine_European,YFR054C,1
CBC,356.375,01.Wine_European,YFR054C,1
CBD,287.625,01.Wine_European,YFR054C,1
ART,238.25,01.Wine_European,YFR054C,1
BSR,86.75,01.Wine_European,YFR054C,1
BSS,463.125,01.Wine_European,YFR054C,1
BTR,105.625,01.Wine_European,YFR054C,>1
BTP,358.625,01.Wine_European,YFR054C,1
ASR,175.375,01.Wine_European,YFR054C,1
AST,225.875,M1.Mosaic_Region_1,YFR054C,1
BHD,196.375,M1.Mosaic_Region_1,YFR054C,1
BHM,212.625,M1.Mosaic_Region_1,YFR054C,1
BHT,181.5,M1.Mosaic_Region_1,YFR054C,1
AMP,226.5,M1.Mosaic_Region_1,YFR054C,<1
BHL,230.875,M1.Mosaic_Region_1,YFR054C,1
BHK,187.125,M1.Mosaic_Region_1,YFR054C,1
BVC,351.375,03.Brazilian_Bioethanol,YFR054C,<1
CNQ,167.625,03.Brazilian_Bioethanol,YFR054C,<1
BTV,478.5,03.Brazilian_Bioethanol,YFR054C,<1
BVA,699.625,03.Brazilian_Bioethanol,YFR054C,>1
CNG,184,03.Brazilian_Bioethanol,YFR054C,<1
CNK,289.25,03.Brazilian_Bioethanol,YFR054C,<1
CNM,186.625,03.Brazilian_Bioethanol,YFR054C,1
CNP,192.375,03.Brazilian_Bioethanol,YFR054C,1
CNR,160.625,03.Brazilian_Bioethanol,YFR054C,1
CNI,277.125,03.Brazilian_Bioethanol,YFR054C,<1
CNH,373.25,03.Brazilian_Bioethanol,YFR054C,<1
CCL,255.75,04.Mediterranean_oak,YFR054C,1
BBQ,197.375,04.Mediterranean_oak,YFR054C,1
BBS,214.375,04.Mediterranean_oak,YFR054C,1
BFP,328.75,04.Mediterranean_oak,YFR054C,1
BTG,326.5,04.Mediterranean_oak,YFR054C,1
CLB,138.875,04.Mediterranean_oak,YFR054C,1
BGM,277.25,05.French_Dairy,YFR054C,1
BGP,224.5,05.French_Dairy,YFR054C,1
BFH,405.75,05.French_Dairy,YFR054C,1
ASN,270.125,05.French_Dairy,YFR054C,>1
BGK,326.125,05.French_Dairy,YFR054C,1
BGD,577.75,05.French_Dairy,YFR054C,1
BGI,292.25,05.French_Dairy,YFR054C,1
ALD,227.25,05.French_Dairy,YFR054C,1
BFS,287.625,05.French_Dairy,YFR054C,1
BGB,294.75,05.French_Dairy,YFR054C,1
BGF,229.75,05.French_Dairy,YFR054C,1
BFT,246.125,05.French_Dairy,YFR054C,1
BGE,259.875,05.French_Dairy,YFR054C,1
BGL,277.75,05.French_Dairy,YFR054C,1
BGA,268.75,05.French_Dairy,YFR054C,1
BGT,242.5,05.French_Dairy,YFR054C,1
BGV,231.875,05.French_Dairy,YFR054C,1
BGH,289.25,05.French_Dairy,YFR054C,>1
BGN,407.25,05.French_Dairy,YFR054C,1
BGC,266.625,05.French_Dairy,YFR054C,1
BGQ,274.375,05.French_Dairy,YFR054C,1
CKV,203.125,05.French_Dairy,YFR054C,1
BDN,219,06.African_beer,YFR054C,>1
CER,190.75,06.African_beer,YFR054C,1
BPN,233.5,99.Other,YFR054C,1
CBN,275.25,07.Mosaic_beer,YFR054C,1
AQG,411,07.Mosaic_beer,YFR054C,>1
CFF,115.25,07.Mosaic_beer,YFR054C,1
AFP,288.5,07.Mosaic_beer,YFR054C,1
ASB,212.5,07.Mosaic_beer,YFR054C,1
CDM,304.875,M2.Mosaic_Region_2,YFR054C,1
BCV,266,M2.Mosaic_Region_2,YFR054C,>1
BDB,266.25,M2.Mosaic_Region_2,YFR054C,>1
BDD,237.25,M2.Mosaic_Region_2,YFR054C,>1
BDH,231.5,M2.Mosaic_Region_2,YFR054C,1
BHG,173.25,M2.Mosaic_Region_2,YFR054C,1
BHH,186.25,M2.Mosaic_Region_2,YFR054C,1
BHI,191.75,M2.Mosaic_Region_2,YFR054C,>1
ANP,237.25,08.Mixed_origin,YFR054C,<1
ATS,188.75,08.Mixed_origin,YFR054C,1
BBP,199,08.Mixed_origin,YFR054C,1
CDR,328,08.Mixed_origin,YFR054C,1
AQI,320.75,08.Mixed_origin,YFR054C,1
AFE,165.375,08.Mixed_origin,YFR054C,1
ATR,175.375,08.Mixed_origin,YFR054C,1
ASP,187.5,08.Mixed_origin,YFR054C,1
BCS,276.875,08.Mixed_origin,YFR054C,1
BCT,282.75,08.Mixed_origin,YFR054C,1
BTC,272.25,08.Mixed_origin,YFR054C,1
BBF,263.25,08.Mixed_origin,YFR054C,1
AAP,243.75,08.Mixed_origin,YFR054C,1
ALN,430.75,08.Mixed_origin,YFR054C,1
CHI,286.125,08.Mixed_origin,YFR054C,1
APL,295.625,08.Mixed_origin,YFR054C,1
BDL,266.625,08.Mixed_origin,YFR054C,>1
ADM,409.625,08.Mixed_origin,YFR054C,1
AKT,213.875,08.Mixed_origin,YFR054C,1
CHG,303.75,08.Mixed_origin,YFR054C,1
CHR,231.125,08.Mixed_origin,YFR054C,1
BCG,254.75,10.French_Guiana_human,YFR054C,1
BCM,266.375,10.French_Guiana_human,YFR054C,1
BCF,318.875,10.French_Guiana_human,YFR054C,1
BCL,260.875,10.French_Guiana_human,YFR054C,1
BCD,219,10.French_Guiana_human,YFR054C,1
BDP,219.875,10.French_Guiana_human,YFR054C,1
BCC,202.5,10.French_Guiana_human,YFR054C,1
BED,213.375,10.French_Guiana_human,YFR054C,1
BCE,248.5,10.French_Guiana_human,YFR054C,1
BCQ,244.125,10.French_Guiana_human,YFR054C,1
